Name,Latitude,Longitude
NL00136,"50,8880580000","5,9711140000"
NL00433,"51,9113920000","4,3269530000"
NL00643,"52,1022220000","5,1283340000"
NL00138,"50,9003170000","5,9868530000"
NO0057A,"59,9286120000","10,8489030000"
NO0011A,"59,9338910000","10,7261190000"
NO0093A,"59,9113920000","10,7038890000"
NO0076A,"58,9641690000","5,7277890000"
NO0083A,"59,9194450000","10,6963890000"
NO0060A,"63,4194450000","10,3975130000"
NO0071A,"59,8986130000","10,8150140000"
NO0101A,"59,9400000000","10,8000000000"
NO0095A,"59,9350010000","10,6697230000"
NO0059A,"60,3774990000","5,3422310000"
NO0015A,"60,3947260000","5,3266750000"
NO0102A,"63,3600000000","10,3700000000"
NO0065A,"58,9613910000","5,7314030000"
NO0068A,"63,4333340000","10,4125110000"
NO0079A,"69,6569440000","18,9555630000"
NO0089A,"63,4305570000","10,3941670000"
PL0012A,"50,0547220000","19,9222220000"
PL0567A,"50,2467000000","19,0202600000"
PL0238A,"50,2794460000","18,6558320000"
PL0550A,"49,6191670000","20,7141670000"
PL0501A,"50,0102780000","19,9488890000"
PL0510A,"51,4078450000","19,6886940000"
PL0008A,"50,2644460000","18,9744450000"
PL0100A,"51,7763890000","19,4530560000"
PL0140A,"52,2192930000","21,0047160000"
PL0498A,"50,8030550000","19,1063900000"
PL0138A,"51,3990960000","21,1474510000"
PL0503A,"51,7490540000","18,0483900000"
PL0096A,"51,7580570000","19,5297220000"
PL0499A,"49,8086090000","19,0269450000"
PL0197A,"51,0862290000","17,0126890000"
PL0489A,"50,0283320000","18,6949440000"
PL0151A,"53,1808360000","22,0547220000"
PL0283A,"50,8725480000","20,6050110000"
PL0190A,"51,2046120000","16,1804770000"
PL0538A,"52,1721200000","22,2820200000"
PL0244A,"52,3981750000","16,9595200000"
PL0143A,"52,2908590000","21,0424590000"
PL0502A,"50,0202780000","21,0047220000"
PL0594A,"49,7843390000","22,7562390000"
PL0542A,"53,4919440000","18,7525000000"
PL0493A,"51,4153190000","21,1713030000"
PL0192A,"50,7687580000","16,2696750000"
PL0136A,"52,5509400000","19,7097690000"
PL0252A,"53,1205560000","17,9880560000"
PL0398A,"52,5562190000","19,6877050000"
